x[i]        f(x[i])      L(x[i])        |f - L|        A
(-1;-1194,27513269508)
(-0,9;75,9903941050959)
(-0,8;55,9240427562709)
(-0,7;-31,2153189954253)
(-0,6;-29,3605520766423)
(-0,5;-3,14584204593151)
(-0,4;7,15194420388871)
(-0,3;3,77426537511938)
(-0,2;-0,28808362393896)
(-0,1;-0,252046847411078)
(0;0,989036440374015)
(0,1;0,598472144103955)
(0,2;-0,352680605714873)
(0,3;0,555778824231358)
(0,4;2,81437737743956)
(0,5;2,98423244429565)
(0,6;-0,0688058996753291)
(0,7;-1,47449724282121)
(0,8;2,43462004123034)
(0,9;1,0722388997908)
(1;3,28358683619965)
